agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	15072000	1915-10-15		4020								
USGS	15072000	1917-08-18		2540								
USGS	15072000	1917-10-31		4600		5.33	3					
USGS	15072000	1919-01-07		2240								
USGS	15072000	1920-08-05		4110								
USGS	15072000	1921-02-25		2600								
USGS	15072000	1922-09-22		3480								
USGS	15072000	1922-11-20		3430								
USGS	15072000	1923-11-03		3910								
USGS	15072000	1925-12-06		2910	1							
USGS	15072000	1926-10-19		2430								
USGS	15072000	1927-10-12		2550								
USGS	15072000	1929-08-21		2550								
USGS	15072000	1929-11-12		2610								
USGS	15072000	1930-10-02		3170								
USGS	15072000	1932-02-24		2250	1							
USGS	15072000	1933-08-12		2150								
USGS	15072000	1934-01-07		2940								
USGS	15072000	1935-02-01		2980								
USGS	15072000	1939-09-19		1850								
USGS	15072000	1940-08-09		2740								
USGS	15072000	1940-12-03		2810								
USGS	15072000	1941-11-07		2100								
USGS	15072000	1943-01-09		3170								
USGS	15072000	1943-11-16		2480								
USGS	15072000	1944-10-00		2620	Bd							
USGS	15072000	1945-10-13		2720		4.06						
USGS	15072000	1947-09-10		2900		4.20						
USGS	15072000	1948-09-02		2690		4.04						
USGS	15072000	1949-09-21		3900		4.93						
USGS	15072000	1949-10-13		3690		4.77						
USGS	15072000	1951-06-13		2270		3.62						
USGS	15072000	1952-04-15		2420		3.74						
USGS	15072000	1953-03-08		1760		3.16						
USGS	15072000	1954-02-07		3370		4.52						
USGS	15072000	1954-12-19		3050		4.06						
USGS	15072000	1956-05-15		2830		3.89						
USGS	15072000	1956-12-25		1960		3.18						
USGS	15072000	1958-04-11		2740		3.82						
USGS	15072000	1958-10-20		3150		4.14						
USGS	15072000	1959-12-05		4140		4.90						
USGS	15072000	1960-10-21		3400		4.33						
USGS	15072000	1961-10-14		5400		5.85						
USGS	15072000	1963-01-05		3750		4.60						
USGS	15072000	1963-12-30		2780		3.86						
USGS	15072000	1964-10-18		3490		4.40						
USGS	15072000	1966-03-28		2900		3.93						
USGS	15072000	1967-08-09		2280		3.40						
USGS	15072000	1968-01-22		2350		3.48						
USGS	15072000	1968-11-19		2230		3.43						
USGS	15072000	1969-11-29		3130		4.15						
USGS	15072000	1971-08-25		2060		3.27						
USGS	15072000	1971-10-06		2450		3.59						
USGS	15072000	1972-10-30		2450		3.64						
USGS	15072000	1974-05-05		2230		3.41						
USGS	15072000	1974-10-08		4540		5.19						
USGS	15072000	1976-01-30		3000		4.02						
USGS	15072000	1976-11-02		4130		4.89						
USGS	15072000	1977-10-12		2920		4.01						
USGS	15072000	1978-10-31		3640		4.44						
USGS	15072000	1979-12-26		4520		4.91						
USGS	15072000	1980-10-06		3800		4.50						
USGS	15072000	1981-11-04		2680		3.85						
USGS	15072000	1982-10-10		3890		4.58						
USGS	15072000	1984-01-05		2600		3.75						
USGS	15072000	1984-11-22		1930		3.31						
USGS	15072000	1986-02-28		2070		3.42						
USGS	15072000	1987-09-30		2880		3.96						
USGS	15072000	1987-11-29		3040		4.05						
USGS	15072000	1988-11-30		3720		4.42						
USGS	15072000	1989-12-25		2160		3.37						
USGS	15072000	1990-12-07		2940		3.93						
USGS	15072000	1992-09-29		3270		4.15						
USGS	15072000	1993-02-06		3710		4.43						
USGS	15072000	1993-10-27		2720		3.78						
USGS	15072000	1994-10-16		1500		2.85						
USGS	15072000	1995-10-13		2150		3.36						
USGS	15072000	1997-04-02		2100	1							
USGS	15072000	1997-12-13		2720		3.78						
USGS	15072000	1999-05-24		4270		4.77						
USGS	15072000	2000-08-22		3310		4.18						
USGS	15072000	2001-09-23		3280		4.16						
USGS	15072000	2002-08-28		2450		3.59						
USGS	15072000	2003-01-07		3200		4.11						
USGS	15072000	2003-10-26		3640		4.39						
USGS	15072000	2005-02-01		2150		3.36						
USGS	15072000	2005-11-22		2350		3.51						
USGS	15072000	2007-03-06		1850		3.13						
USGS	15072000	2007-10-14		2500		3.62						
USGS	15072000	2008-10-22		2280		3.46						
USGS	15072000	2010-09-03		3080		4.03						
USGS	15072000	2011-09-09		3690		4.42						
USGS	15072000	2012-09-13		2370		3.53						
USGS	15072000	2013-05-14		1870		3.16						
USGS	15072000	2014-09-28		2760		3.81						
USGS	15072000	2015-01-22		2470		3.60						
USGS	15072000	2015-10-09		2430		3.54						
USGS	15072000	2017-08-22		2530		3.61						
USGS	15072000	2017-10-24	22:00	1330		2.74						
USGS	15072000	2019-08-24	12:45	1590		2.96						
USGS	15072000	2020-08-16	15:45	2750		3.77						
USGS	15072000	2020-12-06	12:50	3550		4.31						
USGS	15072000	2022-02-09	21:30	2350		3.49						
USGS	15072000	2022-10-29	16:15	1700		3.04						
