agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	07052500	1922-04-01		7220		9.82						
USGS	07052500	1923-03-12		9940		11.40						
USGS	07052500	1924-07-12		15600		15.00						
USGS	07052500	1924-12-19		18000		16.25						
USGS	07052500	1926-09-30		5700		9.30						
USGS	07052500	1927-04-15		41900		26.63						
USGS	07052500	1928-06-10		28900		21.94						
USGS	07052500	1929-04-09		16800		16.30						
USGS	07052500	1930-01-14		9760		12.68						
USGS	07052500	1931-08-06		17500		16.55						
USGS	07052500	1932-06-28		11000		13.50						
USGS	07052500	1933-05-14		34200		24.08						
USGS	07052500	1934-04-06		2130	4	6.77						
USGS	07052500	1935-03-11		50200		29.05						
USGS	07052500	1936-09-23		10300		12.85						
USGS	07052500	1937-01-15		17900		16.80						
USGS	07052500	1938-02-18		16400		16.08						
USGS	07052500	1939-02-20		10700		13.00						
USGS	07052500	1940-04-12		13100		14.44						
USGS	07052500	1941-04-20		49900		28.87						
USGS	07052500	1941-10-31		18100		17.54						
USGS	07052500	1943-05-20		52700		29.82						
USGS	07052500	1944-04-11		14400		15.48						
USGS	07052500	1945-04-15		41000		25.87						
USGS	07052500	1946-02-14		17600		17.07						
USGS	07052500	1947-04-25		40100		25.65						
USGS	07052500	1948-06-19		18100		17.30						
USGS	07052500	1949-02-16		14700		15.60						
USGS	07052500	1949-10-22		31600		22.65						
USGS	07052500	1951-07-05		29900		21.95						
USGS	07052500	1952-02-02		16800		16.62						
USGS	07052500	1953-03-15		4900		8.87						
USGS	07052500	1954-05-03		4900		8.87						
USGS	07052500	1955-02-20		16400		16.40						
USGS	07052500	1956-05-15		27200		20.98						
USGS	07052500	1957-05-24		25600		20.36						
USGS	07052500	1957-12-18		28600		21.46						
USGS	07052500	1959-06-01		7950		11.18						
USGS	07052500	1960-05-07		15200		15.80						
USGS	07052500	1961-05-09		41900		26.20						
USGS	07052500	1962-03-22		5180		9.08						
USGS	07052500	1963-05-27		16400		16.40						
USGS	07052500	1964-04-06		11800		13.75						
USGS	07052500	1965-04-07		34700		23.70						
USGS	07052500	1966-02-10		36700		24.39						
USGS	07052500	1967-05-15		7330		10.55						
USGS	07052500	1968-02-02		22100		19.01						
USGS	07052500	1969-01-30		31300		22.50						
USGS	07052500	1970-05-01		19300		17.84						
USGS	07052500	1970-10-28		15100		15.67						
USGS	07052500	1971-12-15		11300		13.50						
USGS	07052500	1973-07-01		47100		27.97						
USGS	07052500	1973-11-26		28500		20.49						
USGS	07052500	1974-11-05		23100		18.00						
USGS	07052500	1976-04-21		16500		14.91						
USGS	07052500	1977-09-28		31200		21.30						
USGS	07052500	1978-03-25		26500		19.41						
USGS	07052500	1979-05-21		39000		24.43						
USGS	07052500	1980-03-31		7680		10.05						
USGS	07052500	1981-06-21		9250		10.67						
USGS	07052500	1982-01-31		28400		19.92						
USGS	07052500	1982-12-04		45400		26.89						
USGS	07052500	1984-03-19		21600		15.98						
USGS	07052500	1985-02-24		45000		25.29						
USGS	07052500	1985-11-19		18100		14.60						
USGS	07052500	1986-10-02		15000		13.34						
USGS	07052500	1987-12-20		26400		17.80						
USGS	07052500	1989-05-23		13300		12.61						
USGS	07052500	1990-03-15		30900		19.44						
USGS	07052500	1991-04-19		17600		13.57						
USGS	07052500	1992-06-11		13800		12.20						
USGS	07052500	1993-09-25		73200		33.46						
USGS	07052500	1993-11-15		31700		19.72						
USGS	07052500	1995-06-10		29100		18.73						
USGS	07052500	1996-04-23		6210		8.05						
USGS	07052500	1996-11-08		20800		14.52						
USGS	07052500	1998-03-20		20600		15.07						
USGS	07052500	1999-05-05	03:00	18300		14.01						
USGS	07052500	2000-07-13		16000		12.96						
USGS	07052500	2001-02-25	09:00	24000		16.46						
USGS	07052500	2002-05-09		37300		21.86						
USGS	07052500	2003-06-13		3490		6.72						
USGS	07052500	2004-04-25		19900		14.87						
USGS	07052500	2005-01-06	08:45	28100		18.38						
USGS	07052500	2006-05-11	10:30	14700		12.37						
USGS	07052500	2007-06-13		26600		17.28						
USGS	07052500	2008-03-19		85100		35.96						
USGS	07052500	2009-05-02		10500		10.72						
USGS	07052500	2009-10-10		38100		22.00						
USGS	07052500	2011-04-26	05:00	64000		30.95	1					
USGS	07052500	2012-03-22		18000		14.28						
USGS	07052500	2013-06-02	07:45	27400		18.04						
USGS	07052500	2013-12-22		7640		9.09						
USGS	07052500	2015-06-20	09:15	50600		26.14						
USGS	07052500	2015-12-28	05:15	78100		34.10						
USGS	07052500	2017-04-30	13:51	82800		35.97						
USGS	07052500	2018-02-25	06:45	35300		21.48						
USGS	07052500	2019-05-22	06:30	25600		17.78						
USGS	07052500	2020-03-20	12:45	27800		18.62						
USGS	07052500	2021-03-14	09:45	15700		13.91						
