agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	10260500	1905-03-13		2370	1							
USGS	10260500	1906-03-12		10800								
USGS	10260500	1907-03-05		6920								
USGS	10260500	1908-01-25		788	1							
USGS	10260500	1909-01-22		6290								
USGS	10260500	1910-01-01		37900								
USGS	10260500	1911-03-09		6250								
USGS	10260500	1912-03-10		562	1							
USGS	10260500	1913-04-02		187	1							
USGS	10260500	1914-02-20		9350								
USGS	10260500	1915-02-10		7160								
USGS	10260500	1916-01-17		23000								
USGS	10260500	1917-03-29		253	1							
USGS	10260500	1918-03-07		11000								
USGS	10260500	1919-04-02		142	1							
USGS	10260500	1920-02-22		4760								
USGS	10260500	1921-03-14		2200								
USGS	10260500	1922-01-20		7000	1							
USGS	10260500	1930-03-05		340		3.55						
USGS	10260500	1931-04-26		1600		5.65						
USGS	10260500	1932-02-09		7900		11.30						
USGS	10260500	1933-04-04		168		2.52						
USGS	10260500	1933-12-31		2340		6.60						
USGS	10260500	1935-04-08		2760		6.60						
USGS	10260500	1936-02-12		2170		6.10						
USGS	10260500	1937-02-14		6800		9.50						
USGS	10260500	1938-03-02		46600	2							
USGS	10260500	1939-09-25		1850		4.38						
USGS	10260500	1940-01-08		2610		4.58						
USGS	10260500	1940-12-24		5500		5.85						
USGS	10260500	1942-04-04		395		2.74						
USGS	10260500	1943-01-23		19000		11.30						
USGS	10260500	1944-03-11		490		2.88						
USGS	10260500	1945-02-02		6350		6.80						
USGS	10260500	1945-12-23		5800		6.53						
USGS	10260500	1946-11-23		2740		4.83						
USGS	10260500	1948-04-04		840		3.36						
USGS	10260500	1949-04-14		248		2.58						
USGS	10260500	1950-02-07		708		3.14						
USGS	10260500	1951-05-03		40.0		1.87						
USGS	10260500	1951-12-30		2830		4.17						
USGS	10260500	1953-01-07		144		2.31						
USGS	10260500	1954-01-25		7340		6.67						
USGS	10260500	1955-02-17		313		2.70						
USGS	10260500	1956-01-27		6740		6.43						
USGS	10260500	1957-01-13		11500		8.25						
USGS	10260500	1958-04-03		12400		8.59						
USGS	10260500	1959-02-16		6920		6.50						
USGS	10260500	1960-04-28		112		2.24						
USGS	10260500	1961-08-04		1580		3.97						
USGS	10260500	1962-02-11		7040		6.55						
USGS	10260500	1963-02-10		627		3.13						
USGS	10260500	1964-04-01		409		3.35						
USGS	10260500	1965-04-23		443		2.90						
USGS	10260500	1965-11-22		21700		12.34						
USGS	10260500	1966-12-06		15400		9.92						
USGS	10260500	1967-11-20		654		3.16						
USGS	10260500	1969-01-25		23000		12.83						
USGS	10260500	1970-02-28		559		2.99						
USGS	10260500	1970-11-29		3320		4.90						
USGS	10260500	1971-12-24		8910		7.42						
USGS	10260500	1973-02-11		6810		6.57						
USGS	10260500	1974-03-02		1020		3.54						
USGS	10260500	1975-03-08		503		2.98						
USGS	10260500	1976-09-11		5050		5.77						
USGS	10260500	1977-05-08		696		3.22						
USGS	10260500	1978-03-04		24800		13.45						
USGS	10260500	1979-03-27		5690		6.23						
USGS	10260500	1980-02-17		16400		10.62						
USGS	10260500	1981-03-01		130		2.30						
USGS	10260500	1982-04-11		2900		4.90						
USGS	10260500	1983-03-01		16600		10.68						
USGS	10260500	1983-12-25		4690		6.06						
USGS	10260500	1984-12-19		817		3.38						
USGS	10260500	1986-02-15		5110		6.29						
USGS	10260500	1987-03-06		1640		4.03						
USGS	10260500	1988-04-20		687		3.26						
USGS	10260500	1989-02-10		556		3.12						
USGS	10260500	1990-03-04		87.0		2.13						
USGS	10260500	1991-03-01		8900		8.04						
USGS	10260500	1992-02-12		10500		8.65						
USGS	10260500	1993-01-07		18000		11.03						
USGS	10260500	1994-02-07		3860		5.56						
USGS	10260500	1995-01-10		11500		9.02						
USGS	10260500	1996-02-21		5500		6.50						
USGS	10260500	1997-01-26		5000		6.23						
USGS	10260500	1998-02-23		16300		10.53						
USGS	10260500	1999-04-15		84.0		2.13						
USGS	10260500	2000-02-21		1920		4.25						
USGS	10260500	2001-03-20		150		2.37						
USGS	10260500	2001-11-25		15.0		1.61						
USGS	10260500	2003-03-16		6010		6.76						
USGS	10260500	2003-12-25		8250		7.77						
USGS	10260500	2004-10-20		18000		11.04	2		2005-01-11		33.30	1
USGS	10260500	2006-04-05		15000		10.15						
USGS	10260500	2007-08-31		82.0		2.66						
USGS	10260500	2008-01-27		6110		8.82						
USGS	10260500	2009-02-16		1290		4.36						
USGS	10260500	2010-02-06		7680		9.89						
USGS	10260500	2010-12-22		16000	2	26.11						
USGS	10260500	2012-03-26		325		2.92						
USGS	10260500	2013-01-25		105		2.19						
USGS	10260500	2014-02-28		5290		8.20						
USGS	10260500	2014-12-04		576		3.38						
USGS	10260500	2016-01-31		1920		5.22						
USGS	10260500	2017-01-23		3840		6.98						
