agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	10109000	1896-06-06		1900								
USGS	10109000	1897-05-20		1860								
USGS	10109000	1898-05-28		807								
USGS	10109000	1899-06-20		1980								
USGS	10109000	1900-05-28		1070								
USGS	10109000	1901-05-19		1480								
USGS	10109000	1902-06-04		1370								
USGS	10109000	1903-06-12		1270								
USGS	10109000	1904-05-24		1420								
USGS	10109000	1905-06-06		690								
USGS	10109000	1906-05-28		1220								
USGS	10109000	1907-05-24		2450	1							
USGS	10109000	1908-06-24		1040								
USGS	10109000	1909-06-22		1680	1							
USGS	10109000	1910-05-13		1460	1							
USGS	10109000	1911-06-05		1500		3.90	3					
USGS	10109000	1912-06-14		2040		4.50	3					
USGS	10109000	1913-05-10		559		2.32	3					
USGS	10109000	1914-06-04		1200	2	4.40	3,6					
USGS	10109000	1915-06-02		375		2.82	3					
USGS	10109000	1916-03-21		2000	2	5.60	3					
USGS	10109000	1917-06-10		1100		4.20	3					
USGS	10109000	1918-06-08		795		3.62	3					
USGS	10109000	1919-05-30		709		3.46	3					
USGS	10109000	1920-05-30		1230		4.27	3					
USGS	10109000	1921-06-14		1380		4.68	3					
USGS	10109000	1922-06-08		1280		4.42	3					
USGS	10109000	1923-05-27		1210		4.18	3					
USGS	10109000	1924-05-13		676		3.17	3					
USGS	10109000	1925-05-21		870		4.53	3					
USGS	10109000	1926-05-05		651								
USGS	10109000	1927-05-18		941		4.62	3					
USGS	10109000	1928-05-25		902		4.45	3					
USGS	10109000	1929-05-25		760		4.19	3					
USGS	10109000	1930-05-28		390		3.47	3					
USGS	10109000	1931-05-28		125		2.67	3					
USGS	10109000	1932-05-22		1200		5.25	3					
USGS	10109000	1933-06-03		850		4.71	3					
USGS	10109000	1934-05-16		190		3.11	3					
USGS	10109000	1935-05-28		645		4.30	3					
USGS	10109000	1936-05-15		1370		5.57	3					
USGS	10109000	1937-05-30		780		4.58	3					
USGS	10109000	1938-05-17		910		4.97	3					
USGS	10109000	1939-05-05		371		2.64	6					
USGS	10109000	1940-05-13		310	1							
USGS	10109000	1941-05-23		402		2.75						
USGS	10109000	1942-05-26		481		2.73						
USGS	10109000	1943-06-01		958		3.75						
USGS	10109000	1944-05-16		689		3.14						
USGS	10109000	1945-06-06		655		3.07						
USGS	10109000	1946-04-30		857		3.52						
USGS	10109000	1947-05-11		752		3.13						
USGS	10109000	1948-05-28		1110		3.67						
USGS	10109000	1949-05-18		874		3.26						
USGS	10109000	1950-05-31		1260		3.86						
USGS	10109000	1951-05-31		1210		3.84						
USGS	10109000	1952-04-28		927		3.23						
USGS	10109000	1953-06-14		740		3.08						
USGS	10109000	1954-05-22		331		2.20						
USGS	10109000	1955-05-23		551		2.73						
USGS	10109000	1956-05-25		1050		3.57						
USGS	10109000	1957-06-06		938		3.41						
USGS	10109000	1958-05-29		1080		3.64						
USGS	10109000	1959-06-09		512		2.64						
USGS	10109000	1960-05-13		541		2.69						
USGS	10109000	1961-03-21		158		1.68						
USGS	10109000	1962-05-09		900		3.93						
USGS	10109000	1963-02-01		605		3.52						
USGS	10109000	1964-06-07		1020		4.29						
USGS	10109000	1965-06-08		980		4.28						
USGS	10109000	1966-05-10		610		3.51						
USGS	10109000	1967-05-25		969		4.31						
USGS	10109000	1968-06-08		766		3.98						
USGS	10109000	1969-05-15		766		4.09						
USGS	10109000	1970-05-28		1110		4.67						
USGS	10109000	1971-06-12		1660		5.92						
USGS	10109000	1972-06-03		1320		5.80						
USGS	10109000	1973-05-20		920		4.87						
USGS	10109000	1974-06-06		1320		5.54						
USGS	10109000	1975-06-16		1260		5.36						
USGS	10109000	1976-05-19		920		4.72						
USGS	10109000	1977-06-08		288		3.13						
USGS	10109000	1978-06-10		1030		4.93						
USGS	10109000	1979-05-29		880		4.71						
USGS	10109000	1980-05-23		903		4.64						
USGS	10109000	1981-05-22		628		4.07						
USGS	10109000	1982-05-28		1330		5.75						
USGS	10109000	1983-05-31		1420		5.82						
USGS	10109000	1984-05-31		1980		6.58						
USGS	10109000	1985-05-27		927	1							
USGS	10109000	1986-06-07		1970		5.44						
USGS	10109000	1987-04-29		473		3.59						
USGS	10109000	1988-05-25		559		3.68						
USGS	10109000	1989-05-12		831		4.19						
USGS	10109000	1990-06-11		305		3.30						
USGS	10109000	1991-06-06		793		4.17						
USGS	10109000	1992-05-08		302		3.32						
USGS	10109000	1993-05-22		1210		4.78						
USGS	10109000	1994-05-14		626		3.94						
USGS	10109000	1995-06-15		1280		4.81						
USGS	10109000	1996-05-18		1450		5.02						
USGS	10109000	1997-05-22		1740		5.43						
USGS	10109000	1998-06-05		1090		4.68						
USGS	10109000	1999-05-30		1490		5.15						
USGS	10109000	2000-05-26		588		3.88						
USGS	10109000	2001-05-16		960		4.50						
USGS	10109000	2002-05-29		521		3.72						
USGS	10109000	2003-05-30		730		4.15						
USGS	10109000	2004-05-29		572		3.87						
USGS	10109000	2005-05-24		1260		4.89						
USGS	10109000	2006-05-21		1530	1							
USGS	10109000	2007-05-03		496		3.69						
USGS	10109000	2008-05-21		767		4.21						
USGS	10109000	2009-05-25		1030		4.59						
USGS	10109000	2010-06-07		904		4.40						
USGS	10109000	2011-06-25		1710		5.38						
USGS	10109000	2012-05-15		532		3.70						
USGS	10109000	2013-05-16		637		3.96						
USGS	10109000	2014-05-29		810		4.24						
USGS	10109000	2015-06-04		545	1							
USGS	10109000	2016-05-21		797	6	4.23						
USGS	10109000	2017-06-05		1510	6	5.16						
USGS	10109000	2018-05-11	13:30	654	6	3.99						
USGS	10109000	2019-06-08	09:45	964	6	4.48						
USGS	10109000	2020-06-01	04:45	714	6	4.08						
USGS	10109000	2021-05-17	09:00	302	6	3.24						
USGS	10109000	2022-05-18	09:00	492	6	3.64						
USGS	10109000	2023-05-24	07:45	1790	6	5.45						
USGS	10113500	1914-04-21		610	2	3.24	3					
USGS	10113500	1914-10-05		122	1							
USGS	10113500	1916-04-28		1020		4.65	3					
USGS	10113500	1917-05-15		1620	2	6.50	3					
USGS	10113500	1919-04-24		289		2.44	3					
USGS	10113500	1920-05-22		880		4.21	3					
USGS	10113500	1921-05-05		975		4.85	3					
USGS	10113500	1922-05-06		1100		5.20	3					
USGS	10113500	1923-05-10		998	1							
USGS	10113500	1924-04-23		415	1							
USGS	10113500	1925-04-17		362		2.71	3					
USGS	10113500	1926-04-06		264		2.36	3					
USGS	10113500	1927-05-02		738		3.90	3					
USGS	10113500	1928-04-29		842		4.20	3					
USGS	10113500	1929-05-09		467		3.08	3					
USGS	10113500	1930-04-25		244		2.28	3					
USGS	10113500	1930-10-22		115		1.69	3					
USGS	10113500	1932-05-14		787		4.10	3					
USGS	10113500	1933-05-22		346		2.70	3					
USGS	10113500	1933-10-22		127		1.71	3					
USGS	10113500	1935-04-22		328		2.88	3,6					
USGS	10113500	1936-05-05		1270		5.68	3					
USGS	10113500	1937-05-08		674		4.14	3					
USGS	10113500	1938-04-23		810		4.53	3					
USGS	10113500	1939-03-22		208		2.31	3					
USGS	10113500	1940-05-12		134		1.87	3					
USGS	10113500	1941-05-04		106		1.68	3					
USGS	10113500	1942-04-14		201		2.27	3					
USGS	10113500	1943-04-20		610		4.20	3					
USGS	10113500	1944-04-30		238		2.43	3					
USGS	10113500	1945-06-06		417		3.31	3					
