agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	04010500	1924-05-19		3470		4.40						
USGS	04010500	1925-04-24		5320		5.85						
USGS	04010500	1926-04-22		3180	1,2				1926-04-21		6.30	1
USGS	04010500	1927-04-19		7370		6.60						
USGS	04010500	1928-04-04		6200		6.20						
USGS	04010500	1929-04-25		1280	1,2							
USGS	04010500	1930-05-21		3860		5.10						
USGS	04010500	1930-11-21		7600		6.70						
USGS	04010500	1932-04-22		3300		4.70						
USGS	04010500	1933-04-19		4350		5.40						
USGS	04010500	1934-05-05		11000		7.60						
USGS	04010500	1935-04-28		5340		5.90						
USGS	04010500	1936-05-07		7390		6.60						
USGS	04010500	1937-04-26		5750		5.25						
USGS	04010500	1938-04-29		4790		4.70	2		1938-03-26		5.65	1
USGS	04010500	1939-04-30		4600		6.18						
USGS	04010500	1940-05-20		3630		6.64						
USGS	04010500	1941-04-14		5840		8.41						
USGS	04010500	1942-04-16		4140		7.17						
USGS	04010500	1943-04-24		3620		6.68						
USGS	04010500	1944-06-05		4540		7.66						
USGS	04010500	1945-03-28		6340		8.65	2		1945-03-25		8.95	1
USGS	04010500	1946-03-29		3320		6.40						
USGS	04010500	1947-06-12		6500		8.70						
USGS	04010500	1948-04-27		10000		10.31						
USGS	04010500	1949-04-14		3320		6.39	2		1949-04-11		7.05	1
USGS	04010500	1950-05-11		7380		9.25						
USGS	04010500	1951-05-02		7490		9.32						
USGS	04010500	1952-04-19		4900		7.82						
USGS	04010500	1953-05-31		4160		7.22						
USGS	04010500	1954-05-01		9250		10.03						
USGS	04010500	1955-04-20		3180		6.39	2		1955-04-11		8.21	1
USGS	04010500	1956-05-14		4200		7.24						
USGS	04010500	1957-04-25		5580		8.28						
USGS	04010500	1958-04-16		793		3.04						
USGS	04010500	1959-05-07		2160		5.19						
USGS	04010500	1960-04-25		3140		6.35						
USGS	04010500	1961-04-21		3540		6.69						
USGS	04010500	1962-04-29		1580		4.43						
USGS	04010500	1963-06-20		2850		5.93						
USGS	04010500	1964-05-06		8270		9.65						
USGS	04010500	1965-04-30		4390		7.42						
USGS	04010500	1966-05-19		4050		7.12	2		1966-04-23		7.27	
USGS	04010500	1967-04-17		3990		7.06						
USGS	04010500	1968-07-17		3630		6.71						
USGS	04010500	1969-04-22		4700		7.67	2		1969-04-15		7.87	1
USGS	04010500	1970-04-30		5780		8.40						
USGS	04010500	1971-04-20		5040		7.92	2		1971-04-17		8.33	1
USGS	04010500	1972-05-02		4830		7.77						
USGS	04010500	1973-04-22		3200		6.28						
