agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	16010000	1914-09-26		2240		7.70						
USGS	16010000	1916-01-08		2630		8.15						
USGS	16010000	1916-12-18		10700		15.20						
USGS	16010000	1920-03-19		3020		8.69						
USGS	16010000	1921-01-16		4610		10.35						
USGS	16010000	1922-01-31		3340		9.06						
USGS	16010000	1923-01-10		4830		10.59						
USGS	16010000	1923-12-23		4180		10.05						
USGS	16010000	1924-12-13		6450		12.11						
USGS	16010000	1926-01-31		866		5.56						
USGS	16010000	1927-03-05		4610		10.35						
USGS	16010000	1927-12-24		3990		9.85						
USGS	16010000	1928-11-04		5370		11.11						
USGS	16010000	1930-02-27		2480		8.02						
USGS	16010000	1931-08-03		5800		11.49						
USGS	16010000	1932-02-17		1530		6.82						
USGS	16010000	1933-03-04		3250		9.00						
USGS	16010000	1934-06-04		2790		8.40						
USGS	16010000	1935-02-26		2940		8.57						
USGS	16010000	1935-12-09		4500		10.30						
USGS	16010000	1937-03-18		3260		9.07						
USGS	16010000	1937-12-23		5320		11.20						
USGS	16010000	1939-05-11		1700		7.01						
USGS	16010000	1939-11-27		4290		10.17						
USGS	16010000	1940-10-02		6190		12.00						
USGS	16010000	1942-02-19		3640		9.53						
USGS	16010000	1943-03-09		4100		9.98						
USGS	16010000	1943-12-06		1180		6.23						
USGS	16010000	1945-04-06		2340		7.77						
USGS	16010000	1946-04-24		1760		7.09						
USGS	16010000	1946-12-22		4670		10.65						
USGS	16010000	1947-12-17		3330		9.00						
USGS	16010000	1949-02-07		5210		11.10						
USGS	16010000	1950-08-15		7980		13.43						
USGS	16010000	1951-03-04		4890		10.77						
USGS	16010000	1951-12-16		5320		11.19						
USGS	16010000	1953-02-13		1810		7.28						
USGS	16010000	1954-07-11		3260		9.14						
USGS	16010000	1955-02-06		6310		12.12						
USGS	16010000	1955-11-11		4100		9.96						
USGS	16010000	1957-01-29		2060		7.88						
USGS	16010000	1957-12-01		4250		10.42						
USGS	16010000	1959-08-06		7210		12.86						
USGS	16010000	1959-11-02		4840		10.94						
USGS	16010000	1961-03-20		1700		7.33						
USGS	16010000	1962-04-25		2850		8.94						
USGS	16010000	1963-03-30		2540		8.54						
USGS	16010000	1964-09-30		5000		11.08						
USGS	16010000	1964-12-16		3200		9.33						
USGS	16010000	1965-12-01		1830		7.52						
USGS	16010000	1967-01-13		11300		15.33						
USGS	16010000	1967-11-26		4960		11.20						
USGS	16010000	1968-11-30		10300		14.78						
USGS	16010000	1970-01-13		3430		9.70						
USGS	16010000	1971-01-31		2390		8.48						
USGS	16010000	1972-03-02		2110		8.09						
USGS	16010000	1973-02-20		1500		7.15						
USGS	16010000	1974-04-19		8070		13.44						
USGS	16010000	1975-03-28		4310		10.61						
USGS	16010000	1976-03-09		1320		6.83						
USGS	16010000	1977-05-12		1040		6.26						
USGS	16010000	1978-06-07		5190		11.41						
USGS	16010000	1979-02-03		4860		11.11						
USGS	16010000	1980-06-15		4000		10.30						
USGS	16010000	1981-02-11		1540		7.22						
USGS	16010000	1981-11-01		6580		12.47						
USGS	16010000	1982-10-30		4370		10.66						
USGS	16010000	1983-10-20		905		5.89						
USGS	16010000	1984-11-26		1920		7.82						
USGS	16010000	1985-11-15		1710		7.16						
USGS	16010000	1986-11-10		1960		7.54						
USGS	16010000	1987-11-05		5970		11.87						
USGS	16010000	1989-07-23		5910		11.81						
USGS	16010000	1990-03-06		8180		13.56						
USGS	16010000	1991-03-12		2700		8.50						
USGS	16010000	1992-09-11		8240		13.60						
USGS	16010000	1992-12-25		2100		7.75						
USGS	16010000	1994-02-12		2530		8.29						
USGS	16010000	1994-10-18		2040		7.66						
USGS	16010000	1995-11-03		4030		10.04						
USGS	16010000	1997-01-04		6360		12.19						
USGS	16010000	1997-11-01		1260		6.42						
USGS	16010000	1999-01-22		2830		8.69						
USGS	16010000	2000-04-03		1610		7.02						
USGS	16010000	2001-04-02	08:30	4660		10.67						
USGS	16010000	2001-11-26		2090		7.73						
USGS	16010000	2002-11-15	04:15	1810		7.35						
USGS	16010000	2004-02-27	05:15	2720		8.59						
USGS	16010000	2005-02-02	12:50	3180		9.14						
USGS	16010000	2006-01-23	04:00	2560		8.59						
USGS	16010000	2007-01-11	09:20	1070		6.27						
USGS	16010000	2007-12-04	23:55	2520		8.54						
USGS	16010000	2008-12-13	09:10	4620		10.81						
USGS	16010000	2009-11-26	05:35	1780		7.50						
USGS	16010000	2010-12-09	18:35	3200		9.35						
USGS	16010000	2012-03-09	16:58	4840		11.02						
