agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	09394500	1916-01-19				12.70	3					
USGS	09394500	1917-04-18		2800		5.00	3					
USGS	09394500	1919-07-19		4600		5.40	3					
USGS	09394500	1919-12-05		25000		12.00	3	1917				
USGS	09394500	1929-07-21		10700	5	12.45	3					
USGS	09394500	1930-08-11		8000	5	11.05	3					
USGS	09394500	1931-08-07		7750	5	10.90	3					
USGS	09394500	1932-02-10		10200	5	12.10	3					
USGS	09394500	1933-09-11		8300	5	11.00	3					
USGS	09394500	1934-00-00		2500	2,5,Bm							
USGS	09394500	1935-09-28		5400	5	9.30	3					
USGS	09394500	1936-07-25		8300	5	11.00	3					
USGS	09394500	1937-02-07		5640	5	9.30	3					
USGS	09394500	1938-08-08		2960	5	7.20	3					
USGS	09394500	1939-08-06		1180	5	3.95	3					
USGS	09394500	1940-07-26		13000	5	13.45	3					
USGS	09394500	1941-03-15		6050	5	9.45	3					
USGS	09394500	1941-10-03		1670	5	4.70	3					
USGS	09394500	1943-08-31		3590	5	7.46	3					
USGS	09394500	1944-09-28		1140	5	3.70	3					
USGS	09394500	1945-07-23		4690	5	8.42	3					
USGS	09394500	1946-09-19		3880	5	7.80	3					
USGS	09394500	1947-08-29		4560	5	8.26	3					
USGS	09394500	1947-10-14		4560	5	8.30	3					
USGS	09394500	1949-08-08		7540	5	13.10	3					
USGS	09394500	1950-07-19		2050	5	9.85	6					
USGS	09394500	1951-08-28		8290	5	19.75						
USGS	09394500	1952-01-19		10200	5	21.90						
USGS	09394500	1953-07-29		2770	5	11.32						
USGS	09394500	1954-09-02		5230	5	14.90						
USGS	09394500	1955-08-06		6630	5	17.20						
USGS	09394500	1956-06-30		2250	5	10.20						
USGS	09394500	1957-08-06		4100	5	13.95						
USGS	09394500	1958-08-22		3950	5	13.90						
USGS	09394500	1959-08-19		566	5	7.15						
USGS	09394500	1959-10-30		4750	5	14.68						
USGS	09394500	1961-08-17		1420	5	8.90						
USGS	09394500	1962-02-13		996	5	7.91						
USGS	09394500	1963-08-22		6330	5	16.94						
USGS	09394500	1964-07-31		4750	5	17.48						
USGS	09394500	1965-09-04		3390	5	14.73						
USGS	09394500	1965-12-30		5320	5	18.50						
USGS	09394500	1967-07-24		4540	5	17.28						
USGS	09394500	1968-07-25		3990	5	16.18						
USGS	09394500	1969-07-24		3270	5	14.44						
USGS	09394500	1970-09-06		3070	5	14.09						
USGS	09394500	1971-09-30		7220	5	22.50						
USGS	09394500	1971-12-27		3700	5	15.90						
USGS	09394500	1972-10-20		4870	5	17.18						
USGS	09394500	1974-09-22		2020	5	12.20						
USGS	09394500	1974-10-29		2800	5	14.17						
USGS	09394500	1976-07-23		2460	5	12.86						
USGS	09394500	1977-08-04		1220	5	9.63						
USGS	09394500	1978-03-02		4470	5	15.57						
USGS	09394500	1978-12-19		9320	5	22.90	6					
USGS	09394500	1980-02-20		5300	5	17.50						
USGS	09394500	1981-07-16		2050	5	11.29						
