agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	01011000	1932-09-18		16500		9.44						
USGS	01011000	1933-05-05		23400		11.32	2		1933-04-22		14.22	1
USGS	01011000	1934-04-26		18300		9.91						
USGS	01011000	1935-05-02		10800		7.48						
USGS	01011000	1936-05-03		18100		10.26						
USGS	01011000	1937-04-30		12600	2							
USGS	01011000	1938-04-21		11100		7.93	2		1938-04-19		8.28	1
USGS	01011000	1939-05-11		21500		10.78	2		1939-05-01		13.14	1
USGS	01011000	1940-05-04		14300		8.95						
USGS	01011000	1941-04-22		17600		9.80						
USGS	01011000	1942-05-05		22500		11.24						
USGS	01011000	1943-05-13		15900		9.38						
USGS	01011000	1944-05-11		10800		7.80						
USGS	01011000	1945-04-29		15500		9.30						
USGS	01011000	1946-05-17		17700		9.94						
USGS	01011000	1947-05-08		16900		9.74						
USGS	01011000	1948-05-09		10200		7.60						
USGS	01011000	1949-05-04		11000		7.87	2		1949-04-10		8.80	1
USGS	01011000	1950-04-23		8150		6.85	2		1950-04-19		7.62	1
USGS	01011000	1950-12-13		10400		7.67	2		1951-04-15		10.36	1
USGS	01011000	1952-05-13		13200		8.61						
USGS	01011000	1953-04-04		11100		7.90	2		1953-03-31		12.28	1
USGS	01011000	1954-04-23		15500		9.31	2		1954-04-18		10.54	1
USGS	01011000	1955-05-05		15900		9.40	2		1955-04-17		10.58	1
USGS	01011000	1956-05-16		9370		7.30						
USGS	01011000	1957-04-29		7740		6.69						
USGS	01011000	1958-04-25		19000		10.25						
USGS	01011000	1959-05-08		8620		7.03	2		1959-04-15		7.57	1
USGS	01011000	1960-05-10		20400		10.63	2		1960-04-23		14.16	1
USGS	01011000	1961-05-17		28800		12.21						
USGS	01011000	1962-05-07		9700		7.40	2		1962-04-09		9.08	1
USGS	01011000	1963-05-06		13000		8.42						
