agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	10396000	1911-03-21		1800		6.50						
USGS	10396000	1912-02-17		1360		6.00						
USGS	10396000	1913-03-30		1380		6.15						
USGS	10396000	1914-05-25		855		4.45	6					
USGS	10396000	1915-05-03		2060		6.40	6					
USGS	10396000	1916-03-12		1820		6.00	6					
USGS	10396000	1918-03-04		442		3.05						
USGS	10396000	1919-03-29		1670		5.60						
USGS	10396000	1920-03-29		1140		4.50						
USGS	10396000	1921-03-03		2200		6.60						
USGS	10396000	1930-04-24		276	F,O							
USGS	10396000	1937-12-11		1080		4.60	6					
USGS	10396000	1939-03-24		1580		5.12						
USGS	10396000	1940-03-30		1570		5.27						
USGS	10396000	1941-05-12		834		4.19						
USGS	10396000	1942-05-05		2270		5.85						
USGS	10396000	1943-01-21		1230		4.69						
USGS	10396000	1944-03-09		545		3.70						
USGS	10396000	1945-06-04		1280		4.65						
USGS	10396000	1945-12-28		628		3.83						
USGS	10396000	1947-05-02		646		3.87						
USGS	10396000	1948-05-19		1700		5.26						
USGS	10396000	1949-05-16		1020		4.38						
USGS	10396000	1950-03-17		793		4.09						
USGS	10396000	1951-02-07		2000		5.58						
USGS	10396000	1952-04-06		2260		5.84						
USGS	10396000	1953-05-19		2750		6.29						
USGS	10396000	1954-03-09		1240		4.61						
USGS	10396000	1955-04-22		1060		4.42						
USGS	10396000	1956-01-15		2140		5.72						
USGS	10396000	1957-05-18		2560		6.13						
USGS	10396000	1958-02-15		1420		4.92						
USGS	10396000	1959-05-14		331		3.29						
USGS	10396000	1960-03-07		1030		4.40						
USGS	10396000	1961-05-26		470		3.52						
USGS	10396000	1962-03-25		848		4.14						
USGS	10396000	1963-01-31		1400		4.90						
USGS	10396000	1964-03-30		1500		5.03						
USGS	10396000	1964-12-23		2690		6.24						
USGS	10396000	1966-03-13		630		3.75						
USGS	10396000	1967-01-29		1200		4.62						
USGS	10396000	1968-02-23		774		3.99						
USGS	10396000	1969-03-30		2380		5.96						
USGS	10396000	1970-01-22		2720		6.27						
USGS	10396000	1971-01-18		2750		6.29						
USGS	10396000	1972-02-28		2830		6.36						
USGS	10396000	1973-05-19		698		3.88						
USGS	10396000	1974-03-14		1920		5.50						
USGS	10396000	1975-06-25		1090		4.41						
USGS	10396000	1976-03-16		1060		4.41						
USGS	10396000	1977-06-07		1080		4.38						
USGS	10396000	1978-04-26		4270		7.15						
USGS	10396000	1979-04-06		1490		4.94	2		1979-01-11		5.32	
USGS	10396000	1980-05-14		1230		4.58						
USGS	10396000	1981-02-16		1670		5.23						
USGS	10396000	1982-02-16		2340		5.86						
USGS	10396000	1983-05-31		2360		5.77						
USGS	10396000	1984-05-13		1660		5.22						
USGS	10396000	1985-04-01		1210		4.62						
USGS	10396000	1986-02-18		3060		6.28						
USGS	10396000	1987-04-30		717		3.84						
USGS	10396000	1988-04-17		736		3.87						
USGS	10396000	1989-03-09		3450		6.58						
USGS	10396000	1990-04-28		460		3.38						
USGS	10396000	1991-05-20		2000		5.37						
USGS	10396000	1992-04-17		236		2.86						
USGS	10396000	1993-03-17		3520		6.63						
USGS	10396000	1994-03-01		674		3.77						
USGS	10396000	1995-05-06		2180		5.54						
USGS	10396000	1996-05-15		1120		4.40						
USGS	10396000	1997-01-02		2990		6.23						
USGS	10396000	1998-05-14		3110		6.32						
USGS	10396000	1999-03-20		1150		4.44						
USGS	10396000	2000-05-24		610		3.66						
USGS	10396000	2001-05-15		1070		4.34						
USGS	10396000	2002-04-14		831		4.01						
USGS	10396000	2003-05-09		1600		4.96						
USGS	10396000	2004-03-09		759		3.84	2		2004-02-17		3.86	
USGS	10396000	2005-05-06		4180		7.08						
USGS	10396000	2005-12-30		2370		6.23						
USGS	10396000	2007-04-22	06:30	845		4.03						
USGS	10396000	2008-05-19	00:15	1100		4.37						
USGS	10396000	2009-06-14		2500		6.34						
USGS	10396000	2010-06-04	20:45	2160		6.02						
USGS	10396000	2011-05-16	19:45	2430		6.28						
USGS	10396000	2012-04-26	13:15	722		3.86						
USGS	10396000	2013-05-14	02:00	461		3.37						
USGS	10396000	2014-03-10	21:45	926		4.22						
USGS	10396000	2015-05-24		1580		5.26						
USGS	10396000	2016-05-07	06:15	1100		4.52						
USGS	10396000	2017-03-30	05:15	955		4.27						
USGS	10396000	2018-05-10	02:00	326		3.04						
USGS	10396000	2019-04-09	03:45	1670		5.39						
USGS	10396000	2020-05-29	00:30	614		3.71						
USGS	10396000	2021-03-05	21:30	389		3.21						
USGS	10396000	2022-06-12	21:00	1150		4.63						
USGS	10396000	2023-04-10	19:30	2370		6.23						
USGS	12010000	1929-12-23		2460		7.30	3					
USGS	12010000	1931-01-23		2860		7.80	3					
USGS	12010000	1932-02-26		5030		10.60	3					
USGS	12010000	1932-11-13		6090		11.50	3					
USGS	12010000	1933-12-09		7540		13.00	3					
USGS	12010000	1935-01-22		11100		15.90	3					
USGS	12010000	1936-02-27		6210		11.90	3					
USGS	12010000	1937-02-22		3560		8.70	3					
USGS	12010000	1937-11-25		5760		11.40	3					
USGS	12010000	1939-02-12		5230		10.80	3					
USGS	12010000	1939-12-16		5850		11.50	3					
USGS	12010000	1941-01-17		4360		9.74	3					
USGS	12010000	1941-12-18		4520		9.77	3					
USGS	12010000	1942-10-31		5800		11.24	3					
USGS	12010000	1943-12-03		7030		12.40	3					
USGS	12010000	1945-03-19		6500		11.90	3					
USGS	12010000	1945-12-28		5060		10.40	3					
USGS	12010000	1946-12-11		5800		11.25	3					
USGS	12010000	1948-01-01		4620		9.90	3					
USGS	12010000	1949-02-22		10300		15.20	3					
USGS	12010000	1950-02-24		5710		10.80	3					
USGS	12010000	1951-02-09		6830		12.10	3					
USGS	12010000	1952-02-04		5760		10.95	3					
USGS	12010000	1953-01-23		6890		12.24	3					
USGS	12010000	1954-02-19		5630		10.96	3					
USGS	12010000	1954-11-18		4640		9.86	3					
USGS	12010000	1955-12-11		5990		11.59	3					
USGS	12010000	1956-12-10		6990		12.34	3					
USGS	12010000	1958-01-15		3560		8.65	3					
USGS	12010000	1959-01-23		5310		10.60	3					
USGS	12010000	1959-11-22		5950		11.30	3					
USGS	12010000	1961-02-21		7090		12.44	3					
USGS	12010000	1961-11-22		2850		8.28	3					
USGS	12010000	1962-11-19		10500		17.77						
USGS	12010000	1964-01-25		5600		13.05						
USGS	12010000	1964-12-01		5370		12.80						
USGS	12010000	1966-01-06		3480		10.45						
USGS	12010000	1966-12-13		7500		15.00						
USGS	12010000	1968-01-19		5570		13.02						
USGS	12010000	1968-12-24		4570		11.46						
USGS	12010000	1970-02-16		5020		12.03						
USGS	12010000	1970-12-07		8410		15.91						
USGS	12010000	1972-01-11		7160		14.76						
USGS	12010000	1972-12-21		5310		12.76						
USGS	12010000	1973-12-16		3680		10.55						
USGS	12010000	1974-12-21		4460		11.66						
USGS	12010000	1975-12-01		7580		15.16						
USGS	12010000	1977-03-07		3740		10.63						
USGS	12010000	1977-12-02		8720		16.20						
USGS	12010000	1979-03-04		5000		12.38						
USGS	12010000	1979-12-18		7080		14.68						
USGS	12010000	1981-02-16		5720		13.24						
USGS	12010000	1982-01-23		7500		15.09						
USGS	12010000	1982-12-03		6500		14.10						
USGS	12010000	1983-11-15		5090		12.49						
USGS	12010000	1984-11-28		3610		10.44						
USGS	12010000	1986-02-23		6690		14.29						
USGS	12010000	1986-11-23		9720		17.10						
USGS	12010000	1987-12-09		5990		13.54						
