agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	08220000	1890-05-27		6050	2	6.39						
USGS	08220000	1891-05-07		5650	2	6.20						
USGS	08220000	1892-05-24		4710	2	5.72						
USGS	08220000	1893-05-18		3320	2	4.90						
USGS	08220000	1894-05-20		3570	2	4.60						
USGS	08220000	1895-06-12		3690	2	4.68						
USGS	08220000	1896-05-03		3510	2	4.56						
USGS	08220000	1897-05-27		5230	2	5.70						
USGS	08220000	1898-06-03		5270	2	5.30						
USGS	08220000	1899-05-11		2320	2	3.62						
USGS	08220000	1900-05-29		5450	2	5.80						
USGS	08220000	1901-05-21		4480	2	5.16						
USGS	08220000	1902-05-03		1790	2	2.86						
USGS	08220000	1903-06-17		6020	2	6.20						
USGS	08220000	1904-05-20		2040	2	3.50						
USGS	08220000	1905-06-05		10000	2	7.05						
USGS	08220000	1906-06-13		7670	2	6.35						
USGS	08220000	1907-07-01		7770	2							
USGS	08220000	1908-06-11		4130		3.85	6					
USGS	08220000	1909-06-06		6980		5.20						
USGS	08220000	1910-05-12		5260		4.40						
USGS	08220000	1911-06-09		6450		4.80						
USGS	08220000	1911-10-05		18000	6	6.80						
USGS	08220000	1913-05-27		4030	2,6							
USGS	08220000	1914-06-03		5820	6	4.60						
USGS	08220000	1915-06-20		4690	6	4.25						
USGS	08220000	1916-05-11		5020	6	4.20						
USGS	08220000	1917-06-15		8790	6	5.80						
USGS	08220000	1918-06-11		3820	6	3.75						
USGS	08220000	1919-05-22		6020	6	4.75						
USGS	08220000	1920-06-01		8100	2,6							
USGS	08220000	1921-06-13		9630	6	6.10						
USGS	08220000	1922-05-30		8320	6	5.30						
USGS	08220000	1923-05-26		5210	6	4.18						
USGS	08220000	1924-06-15		5980	6	4.50						
USGS	08220000	1925-06-05		3610	6	3.57						
USGS	08220000	1926-06-06		5450	6	4.42						
USGS	08220000	1927-06-29		15000	6	6.40						
USGS	08220000	1928-06-01		4900	6	4.22						
USGS	08220000	1929-06-07		5830	6	4.51						
USGS	08220000	1930-05-31		4400	6	3.93						
USGS	08220000	1931-06-03		2670	6	3.10						
USGS	08220000	1932-06-16		5460	6	4.42						
USGS	08220000	1933-06-02		5050	6	4.27						
USGS	08220000	1934-05-10		2980	6	3.35						
USGS	08220000	1935-06-16		6520	6	4.93						
USGS	08220000	1936-05-05		4000	6	3.83						
USGS	08220000	1937-05-18		3920	6	3.80						
USGS	08220000	1938-06-14		6560	6	4.87						
USGS	08220000	1939-05-22		3550	6	3.56						
USGS	08220000	1940-05-15		2810	6	3.18						
USGS	08220000	1941-06-19		7960	6	5.56						
USGS	08220000	1942-05-27		7150	6	5.09						
USGS	08220000	1943-06-01		3380	6	3.58						
USGS	08220000	1944-05-16		7070	6	5.22						
USGS	08220000	1945-06-15		4030	6	3.90						
USGS	08220000	1946-06-07		3860	6	3.82						
USGS	08220000	1947-06-08		4390	6	4.03						
USGS	08220000	1948-05-22		8840	6	5.81						
USGS	08220000	1949-06-19		10000	6	6.16						
USGS	08220000	1950-06-02		3290	6	3.53						
USGS	08220000	1951-05-28		3950	6	3.87						
USGS	08220000	1952-06-12		7050	6	5.11						
USGS	08220000	1953-05-28		4160	6	3.92						
USGS	08220000	1954-05-22		3270	6	3.52						
USGS	08220000	1955-06-09		4320	6	4.07						
USGS	08220000	1956-06-02		3420	6	3.60						
USGS	08220000	1957-07-27		7120	6	5.24						
USGS	08220000	1958-05-25		7100	6	5.06						
USGS	08220000	1959-06-08		3310	6	3.55						
USGS	08220000	1960-06-04		4910	6	4.31						
USGS	08220000	1961-05-29		4260	6	3.93						
USGS	08220000	1962-05-13		4760	6	4.14						
USGS	08220000	1963-05-19		3170	6	3.43						
USGS	08220000	1964-05-25		4710	6	4.22						
USGS	08220000	1965-06-21		6210	6	5.02						
USGS	08220000	1966-05-08		4450	6	4.10						
USGS	08220000	1967-05-23		3140	6	3.40						
USGS	08220000	1968-06-02		5790	6	4.82						
USGS	08220000	1969-05-23		4820	6	4.27						
USGS	08220000	1970-09-06		7380	6	5.36						
USGS	08220000	1971-06-14		3170	6	3.47						
USGS	08220000	1972-05-31		3520	6	3.60						
USGS	08220000	1973-06-12		6380	6	5.08						
USGS	08220000	1974-05-12		3060	6	3.43						
USGS	08220000	1975-06-15		6350	6	5.07						
USGS	08220000	1976-06-06		5120	6	4.52						
USGS	08220000	1977-06-02		1730	6	2.62						
USGS	08220000	1978-06-11		4410	6	4.18						
