agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	08020000	1914-05-00		85900	7,Bd	41.70	Bd					
USGS	08020000	1915-08-00		69300	7,Bd	40.70	Bd					
USGS	08020000	1932-01-00		52400	7,Bd	39.40	Bd					
USGS	08020000	1933-03-16		6600		27.26						
USGS	08020000	1934-04-15		9340		30.93						
USGS	08020000	1935-05-13		15400		33.80						
USGS	08020000	1936-05-12		5090		23.36						
USGS	08020000	1937-03-17		6770		27.20						
USGS	08020000	1938-01-28		40600		38.34						
USGS	08020000	1939-03-05		7860		28.75						
USGS	08020000	1940-04-18		6450		26.21						
USGS	08020000	1941-06-19		21000		34.75						
USGS	08020000	1942-04-13		46200		39.08						
USGS	08020000	1943-06-11		66200		41.15						
USGS	08020000	1944-05-07		42500		38.46						
USGS	08020000	1945-04-02		138000		44.16						
USGS	08020000	1946-06-04		50900		38.90						
USGS	08020000	1946-11-11		44500		38.52						
USGS	08020000	1948-05-18		23000		35.40						
USGS	08020000	1949-03-04		15100		33.69						
USGS	08020000	1950-02-17		35000		37.55						
USGS	08020000	1951-03-01		6600		28.00						
USGS	08020000	1952-04-29		20000		35.08						
USGS	08020000	1953-05-20		29300		36.72						
USGS	08020000	1954-01-26		6200		26.60						
USGS	08020000	1955-03-29		5900		26.30						
USGS	08020000	1956-05-12		3730		20.50						
USGS	08020000	1957-05-01		58900		40.35						
USGS	08020000	1958-05-03		53500		39.90						
USGS	08020000	1959-04-28		8980		30.92						
USGS	08020000	1959-12-23		18800		34.77						
USGS	08020000	1960-12-14		19200	6	34.93						
USGS	08020000	1962-05-07		6040	6	26.77						
USGS	08020000	1963-05-06		9680	6	31.36						
USGS	08020000	1964-05-01		3280	6	18.56						
USGS	08020000	1965-05-25		10800	6	31.98						
USGS	08020000	1966-04-30		48000	6	38.98						
USGS	08020000	1967-06-10		5150	6	24.44						
USGS	08020000	1968-05-16		19300	6	35.30						
USGS	08020000	1969-05-13		24700	6	36.22						
USGS	08020000	1970-03-09		13000	6	32.95						
USGS	08020000	1970-10-29		3470	6	19.16						
USGS	08020000	1971-12-14		41400	6	38.78						
USGS	08020000	1973-04-29		26300	6	36.27						
USGS	08020000	1974-01-28		9290	6	31.07						
USGS	08020000	1975-02-08		23400	6	35.77						
USGS	08020000	1976-04-27		16000	6	33.99						
USGS	08020000	1977-02-19		13800	6	33.27						
USGS	08020000	1978-03-17		5100	6	24.29						
USGS	08020000	1979-05-11		12900	6	33.07						
USGS	08020000	1980-02-05		5520	6	25.44						
USGS	08020000	1981-06-29		6040	6	26.73						
USGS	08020000	1982-05-28		4600	6	22.84						
USGS	08020000	1982-12-11		8440	6	30.38						
USGS	08020000	1984-04-06		3850	6	20.46						
USGS	08020000	1985-03-04		7380	6	29.23						
USGS	08020000	1986-02-12		12800	6	33.44						
USGS	08020000	1987-03-26		9640	6	31.34						
USGS	08020000	1988-01-01		17000	6	34.27						
USGS	08020000	1989-05-22		52300	6	37.88						
USGS	08020000	1990-05-08		43500	6	38.54						
USGS	08020000	1991-01-20		8160	6	30.14						
USGS	08020000	1991-12-28		25300	6	36.05						
USGS	08020000	1993-03-09		10300	6	31.72						
USGS	08020000	1994-03-03		13600	6	33.10						
USGS	08020000	1995-05-15		24100	6	35.82						
USGS	08020000	1996-06-02		1090	6	10.29						
USGS	08020000	1997-02-27		17200	6	34.81						
USGS	08020000	1998-01-16		14900	6	33.64						
USGS	08020000	1998-12-18		14800	6	33.48						
USGS	08020000	2000-06-24		13800	6	33.83						
USGS	08020000	2001-02-21		23900	6	37.07						
USGS	08020000	2001-12-22		32800	6	37.25						
USGS	08020000	2003-03-05		7160	6	28.69						
USGS	08020000	2004-05-09		4130	6	21.20						
USGS	08020000	2005-01-18		3540	6	18.47						
USGS	08020000	2006-03-21		3730	6	20.69						
USGS	08020000	2007-07-12		19800	6	36.16						
USGS	08020000	2008-03-30	13:45	17900	6	33.66						
USGS	08020000	2009-05-10	16:00	21000	6	35.38						
USGS	08020000	2009-10-19	15:30	23400	6	36.59						
USGS	08020000	2011-01-19	02:45	1590	6	12.40						
USGS	08020000	2012-03-29	02:15	8220	6	30.00						
USGS	08020000	2013-09-22	20:15	2060	6	12.75	2		2013-01-13	1745	13.39	
USGS	08020000	2013-12-27	15:00	4350	6	20.84						
USGS	08020000	2015-06-03	13:00	12500	6	33.82						
USGS	08020000	2016-01-01	13:00	46000	6	39.65						
USGS	08020000	2017-08-23	22:00	4930	6	22.54						
USGS	08020000	2018-03-05	15:45	18200	6	35.85						
USGS	08020000	2019-05-13	21:00	28300	6	37.72						
USGS	08020000	2020-03-27	15:30	13200	6	34.12						
USGS	08020000	2021-05-24	16:45	17000	6	35.26						
USGS	08020000	2022-03-23	12:30	3600	6	18.44						
USGS	08020000	2023-02-19	23:15	4250	6	20.52						
USGS	08022500	1884-05-00		1.00	7,Bd	39.40	Bd					
USGS	08022500	1904-04-13		6090		16.60						
USGS	08022500	1905-05-26		33600		31.80						
USGS	08022500	1906-01-05		20000		27.60						
USGS	08022500	1907-05-31		10800		24.50						
USGS	08022500	1908-05-18		30100		32.90						
USGS	08022500	1909-02-19		6330		19.00						
USGS	08022500	1910-05-24		7540		20.80						
USGS	08022500	1911-04-29		6980		20.00						
USGS	08022500	1912-04-09		16200		27.70						
USGS	08022500	1913-03-18		11900		25.50						
USGS	08022500	1914-05-10		36000		34.40						
USGS	08022500	1915-05-05		47000		36.90						
USGS	08022500	1916-02-03		13800		26.40						
USGS	08022500	1917-03-11		5100		16.80						
USGS	08022500	1918-05-11		8890		22.50						
USGS	08022500	1919-01-06		10700		24.40						
USGS	08022500	1920-01-27		31600		33.30						
USGS	08022500	1921-04-29		41600		35.70						
USGS	08022500	1922-04-02		32800		33.60						
USGS	08022500	1923-04-08		12200		25.80						
USGS	08022500	1924-06-03		14000		26.90						
USGS	08022500	1925-05-25		3100		12.24						
USGS	08022500	1926-04-25		23000		29.60						
USGS	08022500	1927-04-19		20900		29.10						
USGS	08022500	1928-04-29		9860		22.40						
USGS	08022500	1929-06-10		12000		25.20						
USGS	08022500	1930-05-29		34800		34.10						
USGS	08022500	1931-05-04		10800		24.60						
USGS	08022500	1932-02-23		41100		35.60						
USGS	08022500	1933-07-28		29400		32.70	2		1933-07-25		34.60	1
USGS	08022500	1934-03-08		17400		28.40						
USGS	08022500	1935-05-08		36000		34.40						
USGS	08022500	1935-12-14		8400		21.70						
USGS	08022500	1937-01-29		11800		24.60						
USGS	08022500	1938-02-07		25700		31.36						
USGS	08022500	1939-03-04		13600		26.03						
USGS	08022500	1940-02-07		8060		20.57	2		1940-02-11		23.28	1
USGS	08022500	1940-11-27		38800		35.91						
USGS	08022500	1942-04-24		27000		31.98						
USGS	08022500	1943-06-21		31400		33.40						
USGS	08022500	1944-05-06		34300		35.05						
USGS	08022500	1945-04-08		92000		44.07						
USGS	08022500	1946-06-13		37000		35.15						
USGS	08022500	1946-11-22		25400		32.17						
USGS	08022500	1948-02-15		13200		25.16						
USGS	08022500	1949-03-16		9380		21.08						
USGS	08022500	1950-02-25		28900		32.70						
USGS	08022500	1951-02-22		7620		18.75						
USGS	08022500	1952-02-17		13000		24.00						
USGS	08022500	1953-05-19		40900		35.98						
USGS	08022500	1954-05-18		11500		23.47						
USGS	08022500	1955-04-18		12600		24.60						
USGS	08022500	1956-05-08		13800		25.70						
USGS	08022500	1957-05-07		61300		39.41						
USGS	08022500	1958-05-10		51300		37.82						
USGS	08022500	1959-05-11		15200		26.80						
USGS	08022500	1960-03-08		14200		26.03						
USGS	08022500	1960-12-15		19500	6	29.67						
USGS	08022500	1961-12-21		14000	6	26.84						
USGS	08022500	1963-05-16		7020	6	16.46						
USGS	08022500	1964-04-29		5780	6	14.55						
USGS	08022500	1965-04-03		11300	6	23.74						
USGS	08022500	1966-05-06		46800	6	38.46						
USGS	08022500	1967-06-04		8300	6	18.97						
USGS	08022500	1968-01-14		10500	6	31.03						
USGS	08022500	1993-06-25				33.12						
USGS	08022500	1994-03-11				26.44						
USGS	08022500	1995-04-26				29.96						
USGS	08022500	1998-01-14				28.44						
USGS	08022500	1999-01-31				33.07						
USGS	08022500	2000-07-10				25.56						
USGS	08022500	2001-03-05				33.89						
USGS	08022500	2002-04-10				29.39						
USGS	08022500	2003-02-26				29.09						
USGS	08022500	2004-05-06				27.49						
USGS	08022500	2004-11-25				25.81						
USGS	08022500	2006-03-25				22.75						
USGS	08022500	2007-07-23				27.57						
USGS	08022500	2008-04-04				29.04						
USGS	08022500	2009-05-06				25.97						
USGS	08022500	2009-10-31				34.37						
USGS	08022500	2011-02-24				17.96						
USGS	08022500	2012-03-22				25.36						
USGS	08022500	2013-01-14				23.93						
USGS	08022500	2014-05-19				25.51						
USGS	08022500	2015-05-19	19:00			29.32						
USGS	08022500	2016-03-13	10:30			35.47						
USGS	08022500	2017-09-01	02:45			26.39						
USGS	08022500	2018-03-16	06:30			28.42						
