agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
5s	15s	10d	6s	8s	33s	8s	27s	4s	10d	6s	8s	27s
USGS	09024000	1911-07-05		304	2	2.90						
USGS	09024000	1912-06-05		318	1,2	3.00						
USGS	09024000	1913-06-02		298	2	2.40						
USGS	09024000	1914-06-03		514	2	2.82						
USGS	09024000	1915-06-19	08:00	609	2	3.10						
USGS	09024000	1916-05-10		260	2							
USGS	09024000	1917-06-23		346		2.15						
USGS	09024000	1918-06-13		820		2.90						
USGS	09024000	1919-05-28		168		1.40						
USGS	09024000	1920-06-10		322		1.90						
USGS	09024000	1921-06-11		525		2.50						
USGS	09024000	1922-06-13		336		2.03	2		1922-05-28		2.20	
USGS	09024000	1923-06-16		442		2.33						
USGS	09024000	1924-06-14		442		2.33						
USGS	09024000	1925-06-15		254		1.98						
USGS	09024000	1926-06-06		383		2.36						
USGS	09024000	1927-06-28		235		1.83						
USGS	09024000	1928-05-30		350		2.24						
USGS	09024000	1929-05-25		322		2.15						
USGS	09024000	1930-06-12		331		2.18						
USGS	09024000	1931-06-04		202		1.91						
USGS	09024000	1932-06-15		192		1.67						
USGS	09024000	1933-06-11		376		2.40						
USGS	09024000	1934-05-29		172		1.55						
USGS	09024000	1935-06-16		375		2.32						
USGS	09024000	1936-05-30		279	6	1.94						
USGS	09024000	1937-05-20		150	6	1.38						
USGS	09024000	1938-06-09		152	6	1.39						
USGS	09024000	1939-06-05		167	6	1.44						
USGS	09024000	1940-04-19		35.0	6	0.71						
USGS	09024000	1940-10-16		54.0	6	0.85						
USGS	09024000	1942-06-18		326	6	2.10						
USGS	09024000	1943-07-06		157	6	1.48						
USGS	09024000	1944-06-15		229	6	1.79						
USGS	09024000	1945-06-25		132	6	1.38						
USGS	09024000	1946-04-24		54.0	1,6							
USGS	09024000	1947-06-20		278	6	2.03						
USGS	09024000	1948-06-04		295	6	2.10						
USGS	09024000	1949-06-17		359	6	2.18						
USGS	09024000	1950-05-03		46.0	6	0.96						
USGS	09024000	1951-06-20		318	6	2.17						
USGS	09024000	1952-06-06		471	6	2.60						
USGS	09024000	1953-06-14		237	6	1.55						
USGS	09024000	1953-11-09		18.0	6	0.51	2		1953-12-07		1.28	1
USGS	09024000	1955-06-27		36.0	6	0.68						
USGS	09024000	1956-06-01		149	6	1.25	2		1955-11-17		1.45	1
USGS	09024000	1957-06-28		535	6	2.50						
